date,open,high,low,close,volume,symbol
2025-09-11,1.16946,1.17459,1.16601,1.17339,0,EUR/USD
2025-09-12,1.17339,1.17476,1.17014,1.17328,0,EUR/USD
2025-09-13,1.17328,1.17328,1.17328,1.17328,0,EUR/USD
2025-09-15,1.17283,1.17744,1.17162,1.1761,0,EUR/USD
2025-09-16,1.1761,1.18782,1.17574,1.1867,0,EUR/USD
2025-09-17,1.18668,1.19183,1.18078,1.18128,0,EUR/USD
2025-09-18,1.18122,1.18482,1.17503,1.17859,0,EUR/USD
2025-09-19,1.17849,1.17924,1.17288,1.17442,0,EUR/USD
2025-09-20,1.17442,1.17442,1.17442,1.17442,0,EUR/USD
2025-09-22,1.17408,1.18037,1.17261,1.18034,0,EUR/USD
2025-09-23,1.18027,1.18198,1.17785,1.18152,0,EUR/USD
2025-09-24,1.18152,1.18188,1.17283,1.17375,0,EUR/USD
2025-09-25,1.17376,1.17539,1.16454,1.16653,0,EUR/USD
2025-09-26,1.16653,1.17072,1.1657,1.17009,0,EUR/USD
2025-09-27,1.17009,1.17009,1.17009,1.17009,0,EUR/USD
2025-09-29,1.17042,1.17544,1.17038,1.17266,0,EUR/USD
2025-09-30,1.17266,1.17615,1.17123,1.1733,0,EUR/USD
2025-10-01,1.17331,1.17786,1.17155,1.17237,0,EUR/USD
2025-10-02,1.17237,1.17582,1.16833,1.17153,0,EUR/USD
2025-10-03,1.17153,1.17586,1.17137,1.17384,0,EUR/USD
2025-10-04,1.17384,1.17423,1.17384,1.17423,0,EUR/USD
2025-10-06,1.17243,1.17307,1.16517,1.17107,0,EUR/USD
2025-10-07,1.17105,1.17206,1.16477,1.16502,0,EUR/USD
2025-10-08,1.16503,1.16645,1.15985,1.1628,0,EUR/USD
2025-10-09,1.16278,1.1648,1.15421,1.15595,0,EUR/USD
2025-10-10,1.15593,1.16305,1.1559,1.16126,0,EUR/USD
2025-10-11,1.16128,1.16285,1.16039,1.16131,0,EUR/USD
2025-10-13,1.15934,1.16296,1.15574,1.15662,0,EUR/USD
2025-10-14,1.15661,1.16147,1.15427,1.16055,0,EUR/USD
2025-10-15,1.16055,1.16453,1.15999,1.16221,0,EUR/USD
